date,tmin,tmax
1946-03-01,-0.6,12.2
1946-03-02,2.8,7.2
1946-03-03,2.8,15.6
1946-03-04,2.2,25.0
1946-03-05,7.2,25.0
1946-03-06,8.9,23.9
1946-03-07,13.9,23.3
1946-03-08,12.2,17.2
1946-03-09,3.3,17.8
1946-03-10,1.7,10.0
1946-03-11,1.7,7.8
1946-03-12,-1.1,15.6
1946-03-13,6.1,22.2
1946-03-14,11.1,23.3
1946-03-15,9.4,21.1
1946-03-16,7.8,12.2
1946-03-17,6.1,8.9
1946-03-18,5.0,7.2
1946-03-19,3.9,8.3
1946-03-20,2.2,15.6
1946-03-21,2.8,18.9
1946-03-22,2.2,21.7
1946-03-23,6.1,16.7
1946-03-24,5.6,8.9
1946-03-25,6.1,20.6
1946-03-26,12.2,21.7
1946-03-27,11.7,26.1
1946-03-28,10.0,26.7
1946-03-29,11.1,20.0
1946-03-30,11.1,19.4
1946-03-31,4.4,16.1
1946-04-01,3.9,15.0
1946-04-02,12.8,28.3
1946-04-03,11.1,19.4
1946-04-04,8.9,21.1
1946-04-05,7.8,15.6
1946-04-06,6.1,18.9
1946-04-07,3.9,15.6
1946-04-08,3.9,8.3
1946-04-09,7.2,17.8
1946-04-10,3.9,13.9
1946-04-11,1.7,14.4
1946-04-12,4.4,11.7
1946-04-13,3.3,15.6
1946-04-14,6.1,18.9
1946-04-15,11.7,27.8
1946-04-16,10.0,20.6
1946-04-17,7.2,17.2
1946-04-18,3.9,23.9
1946-04-19,10.0,21.7
1946-04-20,11.1,24.4
1946-04-21,6.1,18.9
1946-04-22,6.1,26.7
1946-04-23,10.6,31.7
1946-04-24,15.6,21.7
1946-04-25,11.7,15.6
1946-04-26,8.3,16.1
1946-04-27,6.1,12.2
1946-04-28,2.2,18.3
1946-04-29,10.0,19.4
1946-04-30,12.2,18.9
1946-05-01,14.4,21.1
1946-05-02,16.1,20.6
1946-05-03,8.3,16.7
1946-05-04,6.7,9.4
1946-05-05,8.3,22.8
1946-05-06,11.1,26.7
1946-05-07,11.1,20.6
1946-05-08,7.8,17.2
1946-05-09,7.2,23.3
1946-05-10,9.4,24.4
1946-05-11,17.2,27.2
1946-05-12,15.0,27.8
1946-05-13,12.2,22.8
1946-05-14,11.1,17.2
1946-05-15,12.2,20.6
1946-05-16,17.2,27.8
1946-05-17,19.4,28.9
1946-05-18,16.1,25.6
1946-05-19,14.4,26.1
1946-05-20,16.1,26.7
1946-05-21,18.3,24.4
1946-05-22,13.3,23.3
1946-05-23,10.6,24.4
1946-05-24,11.1,25.6
1946-05-25,18.3,30.6
1946-05-26,19.4,26.7
1946-05-27,17.2,28.3
1946-05-28,12.2,18.9
1946-05-29,10.6,21.7
1946-05-30,10.0,28.3
1946-05-31,16.1,30.6
1947-03-01,-4.4,1.7
1947-03-02,-1.1,1.7
1947-03-03,-2.8,2.8
1947-03-04,-3.9,5.6
1947-03-05,0.0,6.7
1947-03-06,-1.1,7.2
1947-03-07,0.0,6.7
1947-03-08,-3.3,2.8
1947-03-09,-2.2,5.0
1947-03-10,-1.1,6.7
1947-03-11,-1.7,8.9
1947-03-12,-1.7,12.8
1947-03-13,-1.1,12.2
1947-03-14,7.8,21.1
1947-03-15,2.8,15.6
1947-03-16,-1.1,8.9
1947-03-17,-0.6,6.7
1947-03-18,-1.1,6.1
1947-03-19,-2.2,6.7
1947-03-20,-1.7,11.7
1947-03-21,2.2,10.6
1947-03-22,1.7,8.3
1947-03-23,1.1,18.9
1947-03-24,8.9,18.9
1947-03-25,1.7,15.0
1947-03-26,-2.2,2.8
1947-03-27,-2.2,6.1
1947-03-28,-0.6,8.3
1947-03-29,0.6,16.1
1947-03-30,1.1,9.4
1947-03-31,0.0,12.8
1947-04-01,2.2,17.2
1947-04-02,10.6,17.2
1947-04-03,5.0,13.3
1947-04-04,2.8,11.7
1947-04-05,8.3,21.7
1947-04-06,18.9,30.0
1947-04-07,7.2,22.8
1947-04-08,3.9,17.8
1947-04-09,7.2,16.1
1947-04-10,5.6,17.2
1947-04-11,10.6,25.0
1947-04-12,17.2,27.8
1947-04-13,7.8,19.4
1947-04-14,8.9,12.8
1947-04-15,7.8,21.1
1947-04-16,11.1,20.6
1947-04-17,6.1,16.1
1947-04-18,3.9,23.3
1947-04-19,11.1,26.1
1947-04-20,9.4,27.8
1947-04-21,4.4,10.0
1947-04-22,3.3,12.8
1947-04-23,3.9,17.2
1947-04-24,8.3,27.2
1947-04-25,7.8,20.6
1947-04-26,7.2,18.3
1947-04-27,7.2,25.0
1947-04-28,4.4,16.7
1947-04-29,5.0,22.2
1947-04-30,17.8,28.3
1947-05-01,18.3,27.8
1947-05-02,13.9,22.2
1947-05-03,11.1,18.9
1947-05-04,11.7,20.6
1947-05-05,11.7,16.1
1947-05-06,10.6,20.0
1947-05-07,6.7,19.4
1947-05-08,3.9,13.3
1947-05-09,1.1,12.2
1947-05-10,1.7,15.6
1947-05-11,3.3,21.7
1947-05-12,6.7,28.9
1947-05-13,12.2,31.7
1947-05-14,10.0,25.6
1947-05-15,8.3,13.9
1947-05-16,9.4,18.9
1947-05-17,14.4,25.6
1947-05-18,16.1,29.4
1947-05-19,17.8,31.1
1947-05-20,19.4,29.4
1947-05-21,20.0,30.0
1947-05-22,16.1,22.2
1947-05-23,15.6,26.1
1947-05-24,19.4,30.6
1947-05-25,18.3,26.7
1947-05-26,14.4,25.0
1947-05-27,15.6,27.2
1947-05-28,18.9,30.0
1947-05-29,18.9,32.2
1947-05-30,11.7,20.0
1947-05-31,10.0,22.2
1948-03-01,-1.1,6.1
1948-03-02,0.6,5.0
1948-03-03,3.3,12.2
1948-03-04,-3.3,6.7
1948-03-05,-7.8,1.7
1948-03-06,-7.2,3.9
1948-03-07,-0.6,8.3
1948-03-08,0.6,10.0
1948-03-09,-0.6,6.1
1948-03-10,3.9,13.9
1948-03-11,-0.6,11.1
1948-03-12,-4.4,3.3
1948-03-13,-5.6,7.2
1948-03-14,-3.9,13.3
1948-03-15,5.0,21.7
1948-03-16,14.4,18.9
1948-03-17,7.2,16.1
1948-03-18,1.7,15.0
1948-03-19,5.0,20.0
1948-03-20,12.8,27.2
1948-03-21,12.8,30.0
1948-03-22,18.9,28.9
1948-03-23,6.7,20.0
1948-03-24,6.1,20.0
1948-03-25,6.1,16.7
1948-03-26,5.0,21.1
1948-03-27,10.0,22.8
1948-03-28,0.6,10.6
1948-03-29,-1.1,11.7
1948-03-30,5.6,21.1
1948-03-31,11.1,19.4
1948-04-01,13.9,20.0
1948-04-02,8.9,16.7
1948-04-03,5.0,11.7
1948-04-04,1.7,15.6
1948-04-05,7.8,23.9
1948-04-06,15.6,23.9
1948-04-07,10.0,16.1
1948-04-08,9.4,18.3
1948-04-09,5.0,18.3
1948-04-10,2.2,15.6
1948-04-11,8.9,17.2
1948-04-12,16.7,26.1
1948-04-13,6.7,16.7
1948-04-14,3.9,8.3
1948-04-15,6.7,15.6
1948-04-16,5.6,20.0
1948-04-17,6.7,16.1
1948-04-18,2.2,16.7
1948-04-19,5.0,20.0
1948-04-20,11.1,28.9
1948-04-21,10.6,23.3
1948-04-22,8.3,16.7
1948-04-23,3.9,19.4
1948-04-24,8.9,24.4
1948-04-25,15.6,27.8
1948-04-26,10.0,23.3
1948-04-27,6.7,16.7
1948-04-28,6.1,7.8
1948-04-29,5.6,15.0
1948-04-30,6.7,21.7
1948-05-01,10.0,20.0
1948-05-02,7.8,19.4
1948-05-03,11.7,18.9
1948-05-04,11.1,19.4
1948-05-05,9.4,15.6
1948-05-06,7.2,18.3
1948-05-07,10.0,16.1
1948-05-08,7.8,21.1
1948-05-09,7.8,28.3
1948-05-10,16.1,30.6
1948-05-11,17.8,32.2
1948-05-12,18.9,30.0
1948-05-13,13.3,25.0
1948-05-14,12.8,21.1
1948-05-15,12.2,22.8
1948-05-16,15.6,22.8
1948-05-17,13.9,24.4
1948-05-18,12.2,21.7
1948-05-19,11.1,21.1
1948-05-20,8.9,20.0
1948-05-21,13.9,28.9
1948-05-22,9.4,20.6
1948-05-23,10.6,26.1
1948-05-24,14.4,27.2
1948-05-25,15.6,22.8
1948-05-26,16.1,19.4
1948-05-27,16.1,23.3
1948-05-28,18.3,26.1
1948-05-29,18.9,26.1
1948-05-30,18.3,24.4
1948-05-31,18.3,25.0
1949-03-01,-5.0,2.8
1949-03-02,-2.8,5.6
1949-03-03,1.1,5.6
1949-03-04,-2.2,11.1
1949-03-05,4.4,17.8
1949-03-06,4.4,21.1
1949-03-07,-1.1,4.4
1949-03-08,-2.8,12.8
1949-03-09,0.6,14.4
1949-03-10,5.6,9.4
1949-03-11,1.7,7.8
1949-03-12,0.0,4.4
1949-03-13,-0.6,10.6
1949-03-14,0.6,13.3
1949-03-15,-1.7,6.7
1949-03-16,-4.4,6.1
1949-03-17,2.2,8.9
1949-03-18,0.0,5.0
1949-03-19,-3.3,4.4
1949-03-20,-1.1,-43.3
1949-03-21,0.6,18.9
1949-03-22,8.9,19.4
1949-03-23,11.1,21.1
1949-03-24,7.8,18.3
1949-03-25,8.9,14.4
1949-03-26,12.8,18.9
1949-03-27,16.1,28.3
1949-03-28,12.2,18.3
1949-03-29,8.3,23.3
1949-03-30,11.7,26.7
1949-03-31,6.1,17.2
1949-04-01,5.0,10.0
1949-04-02,2.8,14.4
1949-04-03,6.7,16.7
1949-04-04,6.7,15.6
1949-04-05,5.6,13.3
1949-04-06,5.6,15.6
1949-04-07,5.6,15.6
1949-04-08,5.0,15.0
1949-04-09,3.9,16.1
1949-04-10,3.9,17.2
1949-04-11,8.3,15.6
1949-04-12,7.8,22.2
1949-04-13,11.7,16.7
1949-04-14,12.2,23.3
1949-04-15,11.7,30.0
1949-04-16,4.4,12.2
1949-04-17,1.7,15.0
1949-04-18,8.3,15.6
1949-04-19,5.0,12.8
1949-04-20,5.6,20.0
1949-04-21,8.9,26.1
1949-04-22,13.9,16.7
1949-04-23,12.2,23.3
1949-04-24,8.9,15.6
1949-04-25,5.6,17.2
1949-04-26,9.4,28.9
1949-04-27,16.1,22.2
1949-04-28,10.6,18.9
1949-04-29,6.7,18.3
1949-04-30,6.7,22.2
1949-05-01,15.6,23.9
1949-05-02,15.0,22.8
1949-05-03,15.0,27.8
1949-05-04,13.9,31.1
1949-05-05,15.6,29.4
1949-05-06,19.4,32.2
1949-05-07,16.1,32.8
1949-05-08,12.8,22.8
1949-05-09,11.7,23.3
1949-05-10,14.4,17.8
1949-05-11,8.9,14.4
1949-05-12,6.1,22.2
1949-05-13,10.6,22.2
1949-05-14,12.2,28.9
1949-05-15,15.6,28.9
1949-05-16,14.4,22.8
1949-05-17,15.6,23.9
1949-05-18,17.2,29.4
1949-05-19,20.0,31.1
1949-05-20,13.9,26.7
1949-05-21,12.2,19.4
1949-05-22,12.2,25.6
1949-05-23,16.7,24.4
1949-05-24,13.9,27.8
1949-05-25,12.2,19.4
1949-05-26,10.0,18.9
1949-05-27,7.2,19.4
1949-05-28,9.4,19.4
1949-05-29,9.4,21.1
1949-05-30,8.3,23.9
1949-05-31,12.8,27.2
1950-03-01,-1.1,11.7
1950-03-02,-7.8,0.0
1950-03-03,-9.4,0.6
1950-03-04,-5.6,5.6
1950-03-05,-2.2,16.1
1950-03-06,2.2,12.2
1950-03-07,-1.1,6.7
1950-03-08,2.8,12.2
1950-03-09,-3.3,2.8
1950-03-10,-3.9,7.8
1950-03-11,-0.6,6.7
1950-03-12,3.3,16.1
1950-03-13,2.2,7.8
1950-03-14,-0.6,7.2
1950-03-15,-1.1,15.6
1950-03-16,-3.3,8.9
1950-03-17,-3.3,7.2
1950-03-18,-0.6,8.3
1950-03-19,-4.4,7.2
1950-03-20,-1.7,10.0
1950-03-21,3.9,11.1
1950-03-22,4.4,6.7
1950-03-23,1.7,8.3
1950-03-24,7.2,18.3
1950-03-25,5.0,12.8
1950-03-26,3.3,12.8
1950-03-27,6.7,26.1
1950-03-28,15.0,25.0
1950-03-29,1.7,15.0
1950-03-30,-0.6,8.3
1950-03-31,-1.1,10.6
1950-04-01,2.2,12.8
1950-04-02,6.1,16.7
1950-04-03,10.6,25.6
1950-04-04,16.1,26.7
1950-04-05,6.1,20.0
1950-04-06,1.7,7.2
1950-04-07,-1.7,11.7
1950-04-08,2.8,16.7
1950-04-09,-1.1,10.6
1950-04-10,4.4,10.6
1950-04-11,6.1,21.7
1950-04-12,5.6,13.3
1950-04-13,-1.7,5.6
1950-04-14,-4.4,7.8
1950-04-15,0.0,8.3
1950-04-16,0.6,16.7
1950-04-17,2.8,23.9
1950-04-18,12.2,25.0
1950-04-19,12.8,26.1
1950-04-20,7.8,18.9
1950-04-21,5.0,13.3
1950-04-22,4.4,19.4
1950-04-23,7.8,19.4
1950-04-24,8.3,17.8
1950-04-25,6.7,10.6
1950-04-26,9.4,23.3
1950-04-27,9.4,23.9
1950-04-28,12.8,25.0
1950-04-29,11.1,16.7
1950-04-30,8.3,11.7
1950-05-01,7.8,22.2
1950-05-02,13.3,17.2
1950-05-03,11.7,15.6
1950-05-04,13.9,21.7
1950-05-05,16.1,27.2
1950-05-06,18.3,33.9
1950-05-07,14.4,27.8
1950-05-08,7.8,18.3
1950-05-09,6.7,22.8
1950-05-10,16.1,28.9
1950-05-11,17.8,23.9
1950-05-12,11.7,19.4
1950-05-13,10.6,23.9
1950-05-14,13.9,23.3
1950-05-15,13.3,19.4
1950-05-16,13.9,23.9
1950-05-17,12.8,25.6
1950-05-18,12.2,20.6
1950-05-19,10.0,15.0
1950-05-20,8.9,15.0
1950-05-21,7.8,23.3
1950-05-22,11.7,23.9
1950-05-23,15.6,24.4
1950-05-24,15.0,26.7
1950-05-25,15.6,21.1
1950-05-26,16.1,24.4
1950-05-27,16.7,28.3
1950-05-28,15.0,20.0
1950-05-29,15.0,19.4
1950-05-30,14.4,23.9
1950-05-31,17.8,27.2
1951-03-01,4.4,8.9
1951-03-02,0.6,17.2
1951-03-03,3.9,7.8
1951-03-04,4.4,9.4
1951-03-05,5.0,15.6
1951-03-06,2.8,14.4
1951-03-07,8.9,21.7
1951-03-08,5.0,13.9
1951-03-09,-0.6,8.3
1951-03-10,-2.8,6.1
1951-03-11,-2.2,7.8
1951-03-12,-0.6,13.3
1951-03-13,1.7,7.2
1951-03-14,1.7,8.3
1951-03-15,0.0,8.9
1951-03-16,2.2,9.4
1951-03-17,1.7,9.4
1951-03-18,1.7,7.8
1951-03-19,3.9,10.6
1951-03-20,0.0,10.0
1951-03-21,0.6,14.4
1951-03-22,-2.2,7.2
1951-03-23,1.7,21.7
1951-03-24,2.8,18.3
1951-03-25,1.1,11.1
1951-03-26,0.0,8.3
1951-03-27,-1.1,15.6
1951-03-28,7.2,13.9
1951-03-29,11.7,21.1
1951-03-30,10.0,20.6
1951-03-31,7.2,17.2
1951-04-01,9.4,23.3
1951-04-02,4.4,17.8
1951-04-03,3.9,9.4
1951-04-04,4.4,11.7
1951-04-05,5.0,14.4
1951-04-06,5.6,19.4
1951-04-07,6.1,23.3
1951-04-08,8.9,13.9
1951-04-09,8.9,16.7
1951-04-10,8.3,14.4
1951-04-11,4.4,20.6
1951-04-12,7.8,18.9
1951-04-13,5.6,15.6
1951-04-14,8.3,16.1
1951-04-15,6.7,24.4
1951-04-16,6.7,15.0
1951-04-17,4.4,10.0
1951-04-18,1.7,15.6
1951-04-19,10.0,18.9
1951-04-20,4.4,16.1
1951-04-21,4.4,20.6
1951-04-22,10.6,17.8
1951-04-23,8.3,17.8
1951-04-24,5.6,20.6
1951-04-25,8.9,27.2
1951-04-26,13.9,28.3
1951-04-27,10.0,21.7
1951-04-28,10.6,21.1
1951-04-29,15.0,30.0
1951-04-30,15.6,27.2
1951-05-01,13.3,23.3
1951-05-02,11.7,30.6
1951-05-03,12.2,23.9
1951-05-04,9.4,18.9
1951-05-05,10.6,15.0
1951-05-06,10.0,17.8
1951-05-07,9.4,19.4
1951-05-08,8.9,25.0
1951-05-09,11.1,28.3
1951-05-10,15.6,25.6
1951-05-11,13.3,22.8
1951-05-12,10.6,15.6
1951-05-13,8.3,22.2
1951-05-14,8.3,24.4
1951-05-15,10.0,28.3
1951-05-16,13.9,31.7
1951-05-17,16.1,31.1
1951-05-18,13.3,21.7
1951-05-19,12.2,17.2
1951-05-20,14.4,21.7
1951-05-21,17.2,27.8
1951-05-22,17.2,29.4
1951-05-23,11.7,25.0
1951-05-24,11.1,22.2
1951-05-25,12.2,26.7
1951-05-26,16.7,28.3
1951-05-27,15.6,24.4
1951-05-28,13.3,19.4
